銘柄コード,企業名,売上高,売上原価,売上総利益,営業利益,経常利益,特別損益収支,当期純利益,業種,市場
1944,きんでん,"455,563","396,975","58,588","19,251","20,758",568,"10,527",建設業,東1
1945,東京エネシス,"60,746","52,319","8,427","5,012","5,107","-2,003","1,127",建設業,東1
1946,トーエネック,"169,370","149,810","19,560","2,839","3,268",-153,514,建設業,東1
1948,弘電社,"34,215","29,777","4,438",415,456,0,119,建設業,東2
1949,住友電設,"132,105","118,298","13,807","6,770","6,916",-141,"3,376",建設業,東1
1950,日本電設工業,"150,898","129,358","21,540","9,663","10,613",-63,"4,702",建設業,東1
1951,協和エクシオ,"273,134","246,329","26,805","8,919","9,178","2,863","7,856",建設業,東1
1952,新日本空調,"79,640","72,235","7,405","1,915","2,108",-142,811,建設業,東1
1954,日本工営,"65,945","48,560","17,385","3,030","3,326",-336,"1,419",サービス業,東1
1956,日本電話施設,"72,241","64,228","8,013","2,012","2,338",47,"1,068",建設業,東1
1959,九電工,"246,660","227,478","19,182","1,821","3,278",421,"1,351",建設業,東1
1960,サンテック,"29,846","26,945","2,901",-641,-315,-60,-784,建設業,東2
1961,三機工業,"147,994","129,757","18,237","2,525","2,268",-617,176,建設業,東1
1963,日揮,"556,966","470,227","86,739","67,053","72,550","-1,073","39,111",建設業,東1
1964,中外炉工業,"36,998","30,763","6,235","2,000","2,262",0,"1,354",建設業,東1
1965,テクノ菱和,"53,365","48,501","4,864",-737,-560,-176,-769,建設業,東2
1966,高田工業所,"39,478","35,905","3,573","1,029","1,044",-19,534,建設業,大2
1967,ヤマト,"32,374","30,526","1,848",375,506,64,263,建設業,東1
1968,太平電業,"73,715","62,050","11,665","5,573","5,957",-226,"2,655",建設業,東1
1969,高砂熱学工業,"215,464","192,893","22,571","5,214","6,695",597,"4,269",建設業,東1
1971,中央ビルト工業,"8,120","6,744","1,376",315,221,-19,102,金属製品,東2
1972,三晃金属工業,"29,507","25,587","3,920",203,188,-22,71,建設業,東1
1973,ＮＥＣネッツエスアイ,"204,658","172,579","32,079","9,747","9,570",0,"4,593",建設業,東1
1975,朝日工業社,"67,671","62,326","5,345",458,614,-33,96,建設業,東1
1978,アタカ大機,"40,549","34,023","6,526",870,934,198,809,機械,東1
1979,大気社,"189,716","165,056","24,660","8,325","9,033",-262,"4,372",建設業,東1
1980,ダイダン,"122,109","109,733","12,376","2,692","2,736",-1,"1,175",建設業,東1
1981,協和日成,"32,881","28,896","3,985",938,"1,006",-3,471,建設業,JQ
1982,日比谷総合設備,"60,919","52,416","8,503","1,713","2,873",191,"1,657",建設業,東1
1983,東芝プラントシステム,"162,315","136,897","25,418","14,930","15,237",-274,"6,974",建設業,東1
1984,三信建設工業,"7,194","6,435",759,8,37,22,44,建設業,JQ
1987,ソルコム,"37,226","34,455","2,771",711,"1,069",-48,609,建設業,東2
1989,北陸電話工事,"12,469","10,783","1,686",333,374,11,141,建設業,大2
1992,神田通信機,"4,360","3,362",998,-144,-124,0,-138,建設業,JQ
1994,高橋カーテンウォール工業,"6,228","5,938",290,-341,-353,-14,-384,建設業,JQ
1997,暁飯島工業,"6,289","5,530",759,351,335,-14,160,建設業,JQ
2001,日本製粉,"269,094","200,993","68,101","9,634","10,210",-888,"6,235",食料品,東1
2002,日清製粉グループ本社,"441,963","306,650","135,313","23,113","26,132","-1,771","13,326",食料品,東1
2003,日東富士製粉,"50,055","39,873","10,182",984,"1,344",-11,870,食料品,東1
2004,昭和産業,"225,976","188,075","37,901","6,964","7,843",-672,"4,067",食料品,東1
2006,東福製粉,"3,359","2,851",508,-52,-55,-6,-62,食料品,東2
2008,増田製粉所,"8,458","6,734","1,724",508,519,-21,260,食料品,大2
2009,鳥越製粉,"20,963","16,251","4,712","1,605","1,715",-31,971,食料品,東1
2052,協同飼料,"129,070","115,962","13,108",758,204,-212,-240,食料品,東1
2053,中部飼料,"135,328","121,879","13,449","2,583","2,568",-136,"1,341",食料品,東1
2055,日和産業,"48,425","45,004","3,421",255,451,-32,108,食料品,大2
2056,日本配合飼料,"90,035","79,488","10,547","1,450","1,753",-457,"1,197",食料品,東1
2058,ヒガシマル,"8,686","7,456","1,230",60,-13,112,148,食料品,福岡
2107,東洋精糖,"15,555","12,211","3,344","1,201","1,247",-10,714,食料品,東1
2108,日本甜菜製糖,"57,365","42,525","14,840","1,920","2,108",-36,"1,188",食料品,東1
2109,三井製糖,"80,049","64,892","15,157","4,504","6,209","-2,080","2,549",食料品,東1
2112,塩水港精糖,"30,370","25,785","4,585",988,"1,073",-84,465,食料品,東2
2114,フジ日本精糖,"19,272","15,089","4,183","1,024","1,146",-55,636,食料品,東2
2120,ネクスト,"10,319",292,"10,027",952,982,-113,465,サービス業,マザ
2121,ミクシィ,"13,334","4,279","9,055","2,194","2,107",-578,749,サービス業,マザ
2122,インタースペース,"12,375","9,806","2,569",561,555,-61,166,サービス業,マザ
2124,ジェイエイシージャパン,"6,115",187,"5,928","1,370","1,376",-56,670,サービス業,JQ
2128,ノバレーゼ,"11,753","5,151","6,602","1,178","1,194",-176,518,サービス業,マザ
2130,メンバーズ,"4,555","3,530","1,025",239,265,-19,306,サービス業,名セ
2131,アコーディア・ゴルフ,"86,798","70,006","16,792","12,601","10,726",-491,"11,293",サービス業,東1
2132,アイレップ,"37,761","33,477","4,284",922,930,28,579,サービス業,HC
2134,燦キャピタルマネージメント,"1,391",429,962,-206,-262,-43,-392,サービス業,HC
2136,ヒップ,"3,952","3,230",722,154,208,0,101,サービス業,JQ
2137,光ハイツ・ヴェラス,"3,213","2,170","1,043",764,646,-36,218,サービス業,札ア
2139,中広,"4,538","2,661","1,877",244,246,-59,193,サービス業,名セ
2144,やまねメディカル,"5,483","4,415","1,068",169,244,-4,126,サービス業,HC
2145,データリンクス,"7,971","7,172",799,215,217,0,110,サービス業,JQ
2146,ユナイテッド・テクノロジー・ホールディングス,"24,106","19,793","4,313","1,453","1,379",-106,880,サービス業,JQ
2150,ケアネット,"1,593",659,934,-273,-267,-209,-479,サービス業,マザ
2151,タケエイ,"17,456","12,634","4,822","2,100","1,864",-28,870,サービス業,マザ
2152,幼児活動研究会,"5,018","3,478","1,540",513,515,-87,128,サービス業,HC
2153,Ｅ・Ｊホールディングス,"16,919","12,676","4,243",-33,63,-80,-83,サービス業,東2
2154,トラストワークス,"15,459","12,263","3,196",629,667,-172,354,サービス業,JQ
2155,カービュー,"5,554","2,496","3,058",589,604,-53,305,サービス業,マザ
2156,セーラー広告,"8,516","7,093","1,423",100,93,-3,25,サービス業,JQ
2157,コシダカ,"33,746","24,519","9,227","4,077","4,096",-173,"2,279",サービス業,JQ
2158,ＵＢＩＣ,"5,132","1,622","3,510","2,276","2,286",0,"1,305",サービス業,マザ
2159,フルスピード,"10,116","7,885","2,231",527,486,39,532,サービス業,マザ
2160,ジーエヌアイ,161,126,35,-464,-484,-60,-482,サービス業,マザ
2162,日本マニュファクチャリングサービス,"31,832","28,250","3,582",251,266,"1,176","1,356",サービス業,JQ
2163,アルトナー,"3,693","2,593","1,100",207,210,-11,196,サービス業,JQ
2165,メガロス,"13,927","12,259","1,668",396,212,-896,-489,サービス業,JQ
2168,パソナグループ,"181,498","147,694","33,804","1,964","2,091",128,29,サービス業,0
2169,ＣＤＳ,"8,106","5,352","2,754","1,109","1,101",-20,646,サービス業,HC
2170,リンクアンドモチベーション,"18,705","11,399","7,306","1,149","1,133",-17,708,サービス業,東2
2201,森永製菓,"147,190","76,129","71,061","2,813","3,140",-589,"1,081",食料品,東1
2204,中村屋,"41,024","23,123","17,901","1,356","1,459",-560,174,食料品,東1
2206,江崎グリコ,"289,980","166,665","123,315","4,738","5,252",-575,242,食料品,東1
2207,名糖産業,"21,069","14,685","6,384",126,624,21,377,食料品,東1
2208,ブルボン,"102,961","61,126","41,835","2,315","2,511",-99,859,食料品,東2
2209,井村屋製菓,"32,611","22,195","10,416",374,447,-85,120,食料品,東2
2215,第一屋製パン,"24,792","18,057","6,735",-201,-54,-60,-229,食料品,東1
2216,カンロ,"20,351","11,332","9,019",621,670,-30,301,食料品,東2
2217,モロゾフ,"26,342","14,393","11,949",797,842,-283,511,食料品,東1
2220,亀田製菓,"78,789","46,056","32,733","3,364","4,058",86,"2,277",食料品,東2
2221,岩塚製菓,"21,547","13,723","7,824",-446,599,-41,155,食料品,JQ
2222,寿スピリッツ,"19,737","9,776","9,961","1,564","1,525",-71,702,食料品,JQ
2224,コモ,"5,426","3,586","1,840",167,157,-20,65,食料品,JQ
2228,シベール,"3,649","1,922","1,727",91,82,-49,-18,食料品,JQ
2264,森永乳業,"578,299","399,781","178,518","13,184","13,187","-5,331","4,608",食料品,東1
2266,六甲バター,"38,257","21,010","17,247","3,072","3,114",90,"1,859",食料品,大2
2267,ヤクルト本社,"312,552","142,521","170,031","20,817","27,984","-2,036","13,291",食料品,東1
2268,Ｂ－Ｒ　サーティワン　アイスクリーム,"20,783","8,337","12,446","2,771","2,867",-32,"1,578",食料品,JQ
2281,プリマハム,"271,222","225,036","46,186","7,327","7,554",-597,"4,497",食料品,東1
2282,日本ハム,"1,017,784","822,222","195,562","26,513","26,766",0,"11,655",食料品,東1
2284,伊藤ハム,"447,399","363,007","84,392","2,880","4,401","-1,842","2,060",食料品,東1
2288,丸大食品,"204,127","151,655","52,472","5,906","6,123",-836,"3,933",食料品,東1
2291,福留ハム,"28,747","23,193","5,554",515,509,-62,219,食料品,東2
2292,Ｓ　ＦＯＯＤＳ,"134,236","111,794","22,442","4,804","5,174","-1,944","1,428",食料品,東1
2293,滝沢ハム,"28,093","22,982","5,111",152,172,22,178,食料品,JQ
2294,柿安本店,"41,983","22,891","19,092","2,537","2,549",-621,996,食料品,JQ
2300,きょくとう,"6,750","2,067","4,683",398,453,-63,202,サービス業,JQ
2301,学情,"2,255","1,190","1,065",87,201,0,93,サービス業,東1
2303,ドーン,460,306,154,-69,-62,0,-70,情報・通信業,HC
2304,セントラルサービスシステム,"12,549","10,539","2,010",130,91,-34,55,サービス業,JQ
2305,スタジオアリス,"33,794","22,926","10,868","4,431","4,446",-562,"1,720",サービス業,東1
2307,クロスキャット,"7,543","6,265","1,278",263,277,-22,119,情報・通信業,JQ
2309,シミック,"50,303","38,730","11,573","3,918","3,835",-240,"2,241",サービス業,東1
2311,エプコ,"2,798","1,451","1,347",809,818,17,513,サービス業,JQ
2315,ＳＪホールディングス,"20,832","16,419","4,413","1,138","1,833",-143,795,情報・通信業,JQ
2317,システムプロ,"30,630","24,738","5,892","1,822","1,918",482,904,情報・通信業,東1
2321,ソフトフロント,773,399,374,-13,-16,0,-18,情報・通信業,HC
2322,ＮＥＣフィールディング,"183,720","150,764","32,956","9,136","9,438",-698,"4,021",サービス業,東1
2325,日本上下水道設計,"13,605","9,495","4,110","1,325","1,421",-282,727,サービス業,東2
2326,デジタルアーツ,"2,707",649,"2,058",587,565,-1,310,情報・通信業,HC
2327,新日鉄ソリューションズ,"161,579","130,827","30,752","10,755","11,149",0,"5,185",情報・通信業,東1
2329,東北新社,"62,637","48,220","14,417","6,169","6,545",-596,"3,352",情報・通信業,JQ
2330,フォーサイド・ドット・コム,450,371,79,"-1,006",-922,-88,"-1,017",情報・通信業,JQ
2331,綜合警備保障,"304,723","232,813","71,910","10,810","12,558","-1,181","3,903",サービス業,東1
2335,キューブシステム,"8,431","7,128","1,303",523,533,-17,117,情報・通信業,東2
2337,アセット・マネジャーズ,"18,952","15,031","3,921","1,050",979,997,"1,770",サービス業,HC
2340,極楽湯,"9,947","9,033",914,224,215,36,102,サービス業,JQ
2341,アルバイトタイムス,"3,774","1,414","2,360",418,422,-104,389,サービス業,JQ
2342,トランスジェニック,607,379,228,-127,-120,-29,-156,サービス業,マザ
2344,平安レイサービス,"9,445","6,532","2,913","1,695","1,841",-29,981,サービス業,JQ
2345,システム・テクノロジー・アイ,886,485,401,-29,-31,-4,-35,情報・通信業,マザ
2349,エヌアイデイ,"14,824","12,189","2,635",871,899,-63,328,情報・通信業,JQ
2351,アドミラルシステム,"1,324",664,660,71,74,0,45,情報・通信業,マザ
2352,エイジア,717,220,497,93,99,0,96,情報・通信業,マザ
2353,日本駐車場開発,"10,591","6,058","4,533","1,821","1,906",-551,518,不動産業,東1
2354,安川情報システム,"11,516","9,179","2,337",106,241,4,151,情報・通信業,東2
2359,コア,"20,629","16,195","4,434",737,862,-107,410,情報・通信業,東1
2362,夢真ホールディングス,"10,982","7,825","3,157","1,194","1,295",-48,738,サービス業,HC
2369,メディビックグループ,207,123,84,-168,-183,0,-186,サービス業,マザ
2370,メディネット,"2,190","1,038","1,152",-711,-710,95,-624,サービス業,マザ
2371,カカクコム,"20,087","3,239","16,848","9,010","9,017",-30,"5,267",サービス業,東1
2372,アイロムホールディングス,"11,018","8,389","2,629",-432,"-1,697","1,561",-364,サービス業,東1
2373,ケア２１,"13,334","9,785","3,549",384,503,-1,208,サービス業,HC
2374,セントケア・ホールディング,"25,298","21,563","3,735","1,406","1,436",3,856,サービス業,JQ
2376,サイネックス,"9,566","3,834","5,732",567,608,-5,298,サービス業,HC
2379,ディップ,"11,432","1,982","9,450",803,763,-50,378,サービス業,マザ
2385,総医研ホールディングス,"1,548",522,"1,026",-187,-183,4,-184,サービス業,マザ
2388,ウェッジホールディングス,"3,319","1,085","2,234",842,894,-35,172,サービス業,HC
2389,オプト,"78,909","67,942","10,967","1,506","1,355",201,830,サービス業,JQ
2391,プラネット,"2,675",973,"1,702",670,686,2,385,サービス業,JQ
2393,日本ケアサプライ,"8,918","5,072","3,846",992,"1,095",26,552,サービス業,マザ
2395,新日本科学,"15,273","11,977","3,296","-3,048","-2,843",-18,"-3,304",サービス業,マザ
2397,ＤＮＡチップ研究所,401,335,66,-165,-164,-1,-165,サービス業,マザ
2398,ツクイ,"48,965","42,140","6,825","3,445","4,170",-14,"2,201",サービス業,JQ
2399,綜合臨床ホールディングス,"6,196","3,741","2,455","1,131","1,135",-602,307,サービス業,マザ
2400,メッセージ,"38,632","27,285","11,347","5,872","6,246",-3,"3,360",サービス業,JQ
2402,アマナ,"16,575","10,088","6,487",186,123,-97,3,サービス業,マザ
2404,鉄人化計画,"9,358","7,646","1,712",532,447,-35,174,サービス業,マザ
